NumberPlate	Date	Time
	2024-05-08 10:01:28
BAIS RU	2024-05-08 10:01:29
2 NAII KRU	2024-05-08 10:01:29
BCES USI	2024-05-08 10:01:37
LMS ZZC	2024-05-08 10:01:45
‘	2024-05-08 10:01:54
LJa	2024-05-08 10:01:57


NumberPlate	Date	Time
	2024-05-20 14:35:23
BAIS RU	2024-05-20 14:35:25
2 NAII KRU	2024-05-20 14:35:26
BCES USI	2024-05-20 14:35:49
LMS ZZC	2024-05-20 14:36:06
