                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8649,                 1.4488,                 2.0842,                0.82775,                0.67539,                0.80289,                0.40445,                 1.7634,                 1.4192,                 2.1083,              0.0099673,              0.0099673,              0.0099673
                     35,                 1.8698,                 1.5316,                 2.1398,                0.73939,                0.69073,                0.76706,                0.35987,                 1.8342,                 1.4926,                 2.1536,              0.0099663,              0.0099663,              0.0099663
                     36,                 1.8827,                 1.5395,                 2.0946,                0.86717,                0.66754,                0.80303,                0.41756,                 1.7103,                 1.7969,                 2.0924,              0.0099654,              0.0099654,              0.0099654
                     37,                 1.8373,                 1.3555,                 1.9429,                 0.8286,                0.56951,                0.67563,                0.35939,                  1.767,                  1.829,                 2.0753,              0.0099644,              0.0099644,              0.0099644
                     38,                 1.8144,                 1.3636,                 1.9981,                0.82822,                0.76963,                0.88144,                0.48223,                  1.634,                  1.236,                 1.9833,              0.0099634,              0.0099634,              0.0099634
                     39,                 1.9029,                 1.4622,                 2.0683,                0.73989,                0.67801,                0.76692,                0.40035,                 1.6486,                  1.443,                 2.0181,              0.0099624,              0.0099624,              0.0099624
                     40,                 1.7509,                 1.3329,                 1.9686,                0.48994,                0.25916,                0.22385,                 0.1085,                 2.2254,                 2.7427,                 2.4263,              0.0099614,              0.0099614,              0.0099614
                     41,                 1.7067,                 1.2287,                 1.9195,                0.82175,                0.77487,                0.84346,                0.45746,                 1.6334,                  1.386,                 2.0083,              0.0099604,              0.0099604,              0.0099604
                     42,                  1.704,                 1.2253,                  1.823,                0.85826,                0.73298,                0.83769,                0.47483,                 1.5365,                 1.4305,                 1.8893,              0.0099594,              0.0099594,              0.0099594
                     43,                 1.7207,                 1.2657,                 1.9264,                0.62112,                 0.5288,                0.55587,                0.26436,                 1.8751,                 1.8788,                 2.1763,              0.0099584,              0.0099584,              0.0099584
                     44,                 1.7197,                 1.2379,                 1.9543,                 0.8519,                0.74346,                0.85143,                0.45411,                  1.641,                 1.3034,                 1.9635,              0.0099574,              0.0099574,              0.0099574
                     45,                 1.7434,                 1.2782,                 1.9356,                 0.7948,                0.86187,                0.82705,                0.46392,                 1.4835,                 1.1274,                 1.8232,              0.0099564,              0.0099564,              0.0099564
                     46,                 1.6396,                 1.1652,                 1.8246,                0.78803,                0.63874,                0.76543,                0.40605,                 1.6412,                 1.5368,                 1.9638,              0.0099555,              0.0099555,              0.0099555
                     47,                  1.608,                 1.1022,                 1.7722,                0.86917,                0.81739,                0.92476,                0.52239,                 1.4802,                 1.1722,                 1.7964,              0.0099545,              0.0099545,              0.0099545
                     48,                 1.5916,                 1.1173,                 1.7586,                0.66221,                0.56283,                0.61873,                0.34005,                 1.6494,                 1.8674,                 1.9685,              0.0099535,              0.0099535,              0.0099535
                     49,                 1.6106,                 1.2255,                 1.8618,                0.46273,                0.26963,                0.22542,                 0.0928,                 2.4538,                 3.3185,                 2.6242,              0.0099525,              0.0099525,              0.0099525
                     50,                 1.5211,                 1.0512,                 1.7115,                0.79028,                0.81152,                0.85922,                0.50701,                 1.3804,                 1.2848,                 1.7277,              0.0099515,              0.0099515,              0.0099515
                     51,                 1.5927,                 1.0855,                 1.7267,                0.89127,                 0.8822,                0.94096,                0.54634,                 1.4245,                    1.3,                 1.7517,              0.0099505,              0.0099505,              0.0099505
                     52,                 1.5343,                 1.1104,                 1.8187,                0.92435,                0.84031,                0.93779,                0.57928,                 1.3538,                 1.0266,                 1.6846,              0.0099495,              0.0099495,              0.0099495
                     53,                 1.5453,                 1.0679,                 1.6881,                0.91686,                0.86604,                0.93224,                0.53969,                  1.441,                 1.0275,                 1.7334,              0.0099485,              0.0099485,              0.0099485
                     54,                 1.5367,                 1.0449,                 1.7026,                0.93154,                0.85489,                 0.9371,                0.57525,                 1.3806,                 1.0113,                 1.7032,              0.0099475,              0.0099475,              0.0099475
                     55,                 1.5116,                 1.0489,                  1.702,                0.89278,                0.87191,                0.94341,                0.57291,                 1.3567,                 0.9451,                 1.6733,              0.0099465,              0.0099465,              0.0099465
                     56,                 1.5294,                 1.1172,                 1.6745,                0.90388,                0.88624,                0.94783,                0.57379,                 1.4066,                0.92117,                 1.6914,              0.0099456,              0.0099456,              0.0099456
                     57,                 1.5013,                0.99107,                 1.6722,                0.89861,                0.88169,                0.94813,                 0.6026,                  1.327,                0.91905,                 1.6381,              0.0099446,              0.0099446,              0.0099446
                     58,                  1.443,                0.98008,                 1.6631,                0.89839,                0.86649,                0.91743,                0.57669,                 1.3273,                 0.9518,                  1.652,              0.0099436,              0.0099436,              0.0099436
                     59,                 1.4325,                0.98463,                 1.5923,                0.93685,                0.93212,                0.97394,                0.63974,                 1.2886,                0.87174,                 1.6084,              0.0099426,              0.0099426,              0.0099426
                     60,                 1.4622,                 0.9397,                 1.6275,                0.86431,                 0.9004,                0.92065,                0.58039,                 1.3535,                0.94917,                  1.705,              0.0099416,              0.0099416,              0.0099416
                     61,                 1.4376,                0.92325,                 1.6218,                0.92208,                0.92934,                 0.9641,                0.58796,                  1.318,                0.88921,                 1.6932,              0.0099406,              0.0099406,              0.0099406
                     62,                 1.4465,                 1.0238,                 1.6361,                0.92046,                 0.9391,                0.96494,                0.61555,                 1.2843,                0.82107,                 1.5854,              0.0099396,              0.0099396,              0.0099396
                     63,                 1.3951,                0.93888,                 1.6217,                0.93049,                0.94621,                0.97268,                0.59561,                  1.345,                0.85026,                 1.6263,              0.0099386,              0.0099386,              0.0099386
                     64,                 1.4222,                0.94019,                 1.6086,                0.92348,                0.94774,                0.97413,                0.62751,                 1.2487,                0.80274,                 1.5798,              0.0099376,              0.0099376,              0.0099376
                     65,                 1.3797,                 0.8626,                 1.5893,                0.93506,                0.90461,                0.96992,                0.59382,                 1.3257,                0.83588,                 1.6436,              0.0099366,              0.0099366,              0.0099366
                     66,                 1.3759,                0.92262,                 1.6012,                0.91222,                0.92497,                0.96629,                0.61717,                  1.264,                0.82807,                  1.565,              0.0099357,              0.0099357,              0.0099357
                     67,                  1.327,                0.81737,                 1.5416,                0.86057,                0.80787,                0.89294,                0.50366,                 1.5311,                 1.1611,                 1.7776,              0.0099347,              0.0099347,              0.0099347
                     68,                 1.3526,                0.92416,                 1.5916,                0.89222,                0.86683,                0.92992,                0.56055,                 1.4038,                0.96799,                  1.683,              0.0099337,              0.0099337,              0.0099337
                     69,                 1.4156,                 0.8863,                 1.5653,                0.90257,                0.92147,                0.97111,                0.63398,                 1.2145,                0.86354,                 1.5298,              0.0099327,              0.0099327,              0.0099327
                     70,                 1.3383,                0.89178,                 1.5939,                0.89656,                0.90576,                0.95178,                0.62232,                 1.2708,                0.83944,                 1.6024,              0.0099317,              0.0099317,              0.0099317
                     71,                 1.4108,                  0.882,                 1.5454,                0.93488,                0.93717,                0.97841,                0.65262,                 1.1839,                0.75443,                 1.5222,              0.0099307,              0.0099307,              0.0099307
                     72,                 1.3296,                0.86812,                 1.5404,                0.91523,                0.92408,                0.96565,                0.64241,                 1.2187,                0.78625,                 1.5308,              0.0099297,              0.0099297,              0.0099297
                     73,                 1.3392,                0.85592,                 1.5704,                0.90612,                0.92408,                0.95495,                0.61853,                 1.2636,                0.78298,                 1.5822,              0.0099287,              0.0099287,              0.0099287
                     74,                 1.3251,                0.82012,                 1.4666,                0.90086,                 0.8822,                0.94728,                0.61073,                 1.2247,                0.88232,                 1.5331,              0.0099277,              0.0099277,              0.0099277
