                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7326,                  1.327,                 1.9422,                0.87852,                0.72775,                0.85247,                0.41193,                 1.6923,                 1.3083,                 2.0505,              0.0019183,              0.0019183,              0.0019183
                     35,                 1.7511,                 1.4583,                  2.017,                0.83776,                0.74346,                0.86689,                0.47867,                 1.6017,                 1.3389,                 1.9789,              0.0019159,              0.0019159,              0.0019159
                     36,                   1.72,                 1.3914,                 1.9576,                0.79981,                0.72165,                0.84024,                0.42009,                 1.7158,                 1.4001,                  1.982,              0.0019134,              0.0019134,              0.0019134
                     37,                 1.6979,                 1.2399,                 1.8317,                0.82631,                0.74084,                0.85647,                0.41598,                 1.6315,                 1.2747,                 1.9592,              0.0019109,              0.0019109,              0.0019109
                     38,                 1.7077,                  1.297,                 1.8968,                0.86205,                0.73612,                0.85478,                0.46344,                 1.5794,                 1.3186,                 1.9509,              0.0019084,              0.0019084,              0.0019084
                     39,                 1.7321,                 1.3987,                 1.9429,                0.89911,                0.75131,                0.88224,                0.46262,                 1.5379,                 1.2357,                  1.913,               0.001906,               0.001906,               0.001906
                     40,                  1.653,                 1.3102,                 1.8599,                0.85492,                0.79319,                0.90189,                0.51444,                 1.4299,                 1.1931,                 1.8633,              0.0019035,              0.0019035,              0.0019035
                     41,                 1.6576,                 1.2047,                 1.8686,                0.79632,                0.82901,                0.88649,                0.49119,                 1.5412,                  1.244,                  1.888,               0.001901,               0.001901,               0.001901
                     42,                 1.5812,                 1.0867,                 1.6927,                0.86905,                0.76178,                0.87977,                0.50839,                 1.5248,                 1.1231,                 1.8813,              0.0018985,              0.0018985,              0.0018985
                     43,                 1.6453,                 1.2226,                 1.8714,                0.83071,                0.78272,                0.87999,                 0.4886,                 1.5052,                  1.336,                 1.8775,              0.0018961,              0.0018961,              0.0018961
                     44,                 1.6622,                 1.2348,                 1.9115,                0.87337,                0.84855,                0.92795,                0.54443,                 1.4436,                 1.1446,                 1.8504,              0.0018936,              0.0018936,              0.0018936
